park,hikedt,comments
Columbia State Historic Park,,
Mount Diablo State Park,,plan to hike in May
Marshall Gold Discovery State Historic Park,,
Ed Z’Berg Sugar Pine Point State Park,,
Humboldt Lagoons State Park,,
Anderson Marsh State Historic Park,,
Clear Lake State Park,,
Angel Island State Park,,
Mendocino Headlands State Park,,
Van Damme State Park,,
Malakoff Diggins State Historic Park,,
Auburn State Recreation Area,,
Wildwood Canyon Park Property,,
Folsom Lake State Recreation Area,,
Cuyamaca Rancho State Park,,
Hearst San Simeon State Park,,
Morro Strand State Beach,4/16/2019,
Morro Strand State Park,4/16/2019,
Pismo State Beach,2/28/2019,
Burleigh H. Murray Ranch Property,,
Montara State Beach,,
Pescadero Marsh Natural Preserve,,
Pigeon Point Light Station State Historic Park,,
La Purísima Mission State Historic Park,,
Castle Rock State Park,,
Henry Cowell Redwoods State Park,,
Natural Bridges State Beach,,
New Brighton State Beach,,
Portola Redwoods State Park,,
Seacliff State Beach,,
The Forest of Nisene Marks State Park,,
Wilder Ranch State Park,,
Jack London State Historic Park,,
Salt Point State Park,,
Sugarloaf Ridge State Park,,
